Image,Segmentation,Transcription,Threshold
a03-063-05,ok,sceptical about British plans for organizing it.,191
a03-063-06,ok,"Stated more bluntly, they are still unconvinced that",191
a03-063-07,err,this is not primarily an effort on Britain's part to,191
a03-063-08,ok,"salve Blue Streak, which was abandoned last summer",191
a03-063-09,ok,as a military project; or that the European space satellite,182
a03-063-10,ok,is indeed to be purely scientific in character.,182
a03-066-00,ok,Mr. Thorneycroft's main purpose will be to,203
a03-066-01,ok,"remove these doubts, and to persuade the",203
a03-066-02,ok,Federal Government that the financial burden,203
a03-066-03,ok,"involved is really worth while, at a time when",203
a03-066-04,ok,any increase in budgetary commitments,205
a03-066-05,ok,would almost certainly involve a corresponding,203
a03-066-06,ok,rise in taxation - something no one is prepared,205
a03-066-07,ok,to contemplate in an election year.,216
a03-071-00,ok,"But, at the same time, there is reason to",164
a03-071-01,ok,believe that the Federal Government is not,165
a03-071-02,ok,"convinced, on the basis of the information",166
a03-071-03,ok,"it has so far, that such a project would",164
a03-071-04,err,be justified from a scientific point of view;,167
a03-071-05,ok,"and not merely constitute a ""prestige""",165
a03-071-06,ok,"satellite, duplicating to some extent American",165
a03-071-07,ok,"efforts, as Die Welt suggests today in",167
a03-071-08,err,a highly critical editorial article.,162
a03-073-00,ok,On the specific question of the use of Blue,169
a03-073-01,ok,"Streak, Mr. Thorneycroft's task will be",167
a03-073-02,ok,easier. He can point out that this is the,170
a03-073-03,ok,only rocket and launcher in Europe to,171
a03-073-04,ok,have reached a sufficient stage of development,167
a03-073-05,ok,for adaptation as the first stage in,165
a03-073-06,ok,putting a heavy satellite into outer space.,166
a03-073-07,err,There has also been some talk of adopting another,167
a03-073-08,ok,"British rocket, Black Knight, for the second",164
a03-073-09,ok,"stage, but the French have one of their",167
a03-073-10,ok,own called Veronique which they would,166
a03-073-11,ok,like to see used.,165
a03-080-00,ok,The Foreign Ministry spokesman added,172
a03-080-01,ok,"today, however, that the Brussels Treaty",172
a03-080-02,err,"was irrelevant, because research on the",173
a03-080-03,ok,various rocket stages had already been,172
a03-080-04,err,"concluded, and only cooperation on the type",171
a03-080-05,ok,of capsule was involved. A lesser obstacle,168
a03-080-06,ok,to German participation is the absence of,167
a03-080-07,ok,any Ministry or Minister directly responsible,170
a03-080-08,ok,for it - and therefore of any budget,169
a03-080-09,ok,under which funds could be appropriated.,167
a03-089-00,ok,This is expected eventually to replace the,171
a03-089-01,err,"Fiat G-91, and the F 104 Starfighter,",172
a03-089-02,ok,the backbone of the German Air,175
a03-089-03,ok,Force.,172
a04-000-00,ok,PRESIDENT KENNEDY renewed his pressure,172
a04-000-01,ok,on Mr. Harold Macmillan to join the,172
a04-000-02,ok,Common Market during their talks at Admiralty,172
a04-000-03,ok,"House, Whitehall, yesterday. Much of their",172
a04-000-04,ok,"three hours, 20 minutes of discussion is believed",165
a04-000-05,ok,to have been devoted to this main point,165
a04-000-06,ok,of American policy.,172
a04-003-00,ok,It arose during talks following,172
a04-003-01,ok,President Kennedy's report to the British,172
a04-003-02,ok,Prime Minister of the outcome of his recent,172
a04-003-03,ok,visit to Paris. There General de Gaulle had made,172
a04-003-04,ok,clear that he would accept Britain into the,172
a04-003-05,ok,Common Market only if there were no conditions,172
a04-003-06,ok,laid down to meet the Commonwealth,172
a04-003-07,ok,and other reservations.,172
a04-006-00,ok,Mr. Kennedy told Mr. Macmillan that he still,172
a04-006-01,ok,wanted him to apply for membership of the Common,172
a04-006-02,ok,"Market, even if it meant an unconditional surrender.",172
a04-006-03,ok,"There were also brief discussions on Laos, Berlin",172
a04-006-04,ok,"and other foreign questions, after Mr. Kennedy had",172
a04-006-05,ok,informed Mr. Macmillan of his discussions with Mr.,165
a04-006-06,err,Krushchov. With the exception of 40 minutes when,172
a04-006-07,ok,"Lord Home, Foreign Secretary, and Mr. McGeorge",172
a04-006-08,ok,"Bundy, the President's special assistant for",165
a04-006-09,ok,"security affairs, were brought in, the two",172
a04-006-10,ok,men talked alone.,172
a04-010-00,ok,An attempt to get more information about the,172
a04-010-01,ok,Admiralty House meeting will be made in the,172
a04-010-02,ok,House of Commons this afternoon. Labour M.P.s already,172
a04-010-03,ok,have many questions to the Prime Minister asking,172
a04-010-04,ok,for a statement. President Kennedy flew from London,172
a04-010-05,ok,Airport last night to arrive in Washington this,172
a04-010-06,ok,morning. He is to make a 30-minute nation-wide,172
a04-010-07,ok,broadcast and television report on his,172
a04-010-08,ok,talks with Mr. Krushchov this evening.,172
a04-015-00,ok,The joint communique on Mr. Kennedy's and Mr. Macmillan's,172
a04-015-01,ok,"third talks - the first were at Key West, Florida, the second in",172
a04-015-02,ok,"Washington - said: ""Their discussions covered the major problems,",172
a04-015-03,ok,"both economic and political, and revealed once again the",172
a04-015-04,ok,close agreement of the two Governments in pursuing their,172
a04-015-05,ok,"common purposes. ""Occasion was given to review the need for",172
a04-015-06,ok,economic co-operation and expansion in the general interests,172
a04-015-07,ok,"of developed and underdeveloped countries alike.""",172
a04-019-00,ok,"It said that the President and Premier noted ""with satisfaction"" the",172
a04-019-01,ok,"agreement in Vienna on the need for an effective Laos ceasefire,",172
a04-019-02,ok,which should lead to progress toward a Laos agreement at the,172
a04-019-03,ok,"Geneva conference. ""Particular attention was also given to the",172
a04-019-04,ok,"nuclear tests conference and to the question of disarmament. ""The",172
a04-019-05,ok,"situation in regard to Germany was reviewed, and there was full",172
a04-019-06,ok,agreement on the necessity of maintaining the rights and,172
a04-019-07,ok,"obligations of the allied Governments in Berlin.""",172
a04-023-00,ok,"Apart from their formal Admiralty House talks, followed by lunch",172
a04-023-01,ok,given by Lady Dorothy Macmillan with Mrs. Kennedy and other,172
a04-023-02,ok,"guests present, Mr. Kennedy and Mr. Macmillan met three more",172
a04-023-03,ok,"times yesterday. In PARIS, Mr. Dean Rusk, U.S. Secretary of",172
a04-023-04,ok,"State, gave a 90-minute briefing on the Vienna talks to the",172
a04-023-05,err,15-nation Nato council. Some of his listeners said he was,165
a04-023-06,err,"""rather pessimistic"" and talked of a Berlin crisis later this year.",172
a04-027-00,ok,From Nato headquarters Mr. Rusk went to see President de Gaulle,172
a04-027-01,ok,and informed him of the Vienna outcome. Last night Mr. Rusk arrived,172
a04-027-02,ok,in London in time to join the Buckingham Palace dinner and to,172
a04-027-03,ok,"fly home with the President. In DUESSELDORF, Chancellor Adenauer",172
a04-027-04,ok,"said the Vienna talks ""might be the beginning of a slight improvement,""",172
a04-027-05,ok,but no big changes should be expected in the political situation.,172
a04-031-00,ok,"RELAXED, smiling and clearly in the best of",186
a04-031-01,ok,"spirits, Mr. Krushchov yesterday returned to",186
a04-031-02,ok,Moscow after his two days of talks with President,189
a04-031-03,ok,"Kennedy, writes Dennis Ogden from Moscow. The",188
a04-031-04,ok,good beginning made at Vienna must be,186
a04-031-05,ok,"followed up by new efforts for peace, the",186
a04-031-06,ok,Soviet Communist Party newspaper Pravda,188
a04-031-07,ok,"declared yesterday. Events in Vienna ""gave hope",186
a04-031-08,ok,"to people of goodwill who hate the cold war,",188
a04-031-09,ok,"and to all who are striving for a stable peace,""",186
a04-035-00,err,"""Thinking over the results of the Vienna",186
a04-035-01,ok,"meeting, peace-loving people will say 'a",186
a04-035-02,ok,"good beginning.'"" Mr. Krushchov remained at the",186
a04-035-03,ok,airport to join President Brezhnev in welcoming,186
a04-035-04,ok,"Dr. Sukarno, President and Prime Minister of",186
a04-035-05,ok,"Indonesia, who arrived by Boeing 707 jet on a",182
a04-035-06,ok,state visit 40 minutes after Mr. Khrushchov had,186
a04-035-07,ok,"arrived from Vienna. A cheering, delighted crowd",186
a04-035-08,ok,of Indonesian students broke through crash barriers,182
a04-035-09,ok,to surround their President on the tarmac for,186
a04-039-00,ok,"In VIENNA, before flying off to Moscow,",186
a04-039-01,ok,Mr. Khrushchov said he hoped his weekend,186
a04-039-02,ok,"talks with President Kennedy would # help ""to",186
a04-039-03,ok,"establish an enduring peace between nations.""",186
a04-039-04,ok,Replying to a farewell speech from Austrian President,186
a04-039-05,ok,"Schaerf, the Soviet Premier thanked Austria for",182
a04-039-06,ok,the hospitality and welcome he had received.,186
a04-039-07,ok,"""The Soviet Union has always striven and is",182
a04-039-08,ok,striving to safeguard an enduring peace for,182
a04-039-09,ok,"the peoples, to secure an early solution of the",182
a04-043-00,ok,MR. GAITSKELL today delivered a full-blooded,188
a04-043-01,ok,defence of the Polaris missile base. And by,186
a04-043-02,ok,implication he supported the establishment of,186
a04-043-03,ok,sites in Britain for the training of German,186
a04-043-04,ok,troops. His main theme was that nuclear,186
a04-043-05,ok,"weapons were necessary to defend Britain, that",186
a04-043-06,ok,"Britain must depend on Nato and ""the West""",186
a04-043-07,ok,must have nuclear weapons so long as the,186
a04-043-08,ok,Soviet Union has them.,186
a04-047-00,ok,Addressing the annual congress of the National Union,172
a04-047-01,ok,"of General and Municipal Workers, he said he felt",172
a04-047-02,ok,sure the Labour movement was coming round in,172
a04-047-03,ok,support of his views. Obviously conscious of the fierce and,172
a04-047-04,ok,widespread resentment over the U.S. Polaris base in,172
a04-047-05,ok,"Britain, Mr. Gaitskell said that he even noticed that",172
a04-047-06,ok,supporters of unilateral nuclear disarmament were changing,172
a04-047-07,ok,their tactics by switching most of their emphasis on,172
a04-047-08,ok,to the missile.,165
a04-050-00,ok,Mr Gaitskell said that a member of an alliance could,172
a04-050-01,ok,not deny facilities to nations to which it was,172
a04-050-02,ok,allied. But governments should be free to negotiate,172
a04-050-03,ok,and refuse proposals with which they did not,182
a04-050-04,ok,"agree. The Labour Party opposed Thor missiles, because,",172
a04-050-05,ok,"he said, they were out of date and vulnerable and",172
a04-050-06,ok,would attract enemy action.,172
a04-054-00,ok,That argument did not apply to the Polaris submarine.,172
a04-054-01,ok,"So long as the Soviet Union had nuclear weapons,",172
a04-054-02,ok,"the West, somewhere, must have them too. It",172
a04-054-03,ok,was far better for a weapon used for retaliatory,172
a04-054-04,ok,purposes to be under the sea rather than on land.,172
a04-054-05,ok,This was why the Labour Party did not think it right,172
a04-054-06,ok,to oppose the Polaris depot ship.,172
a04-059-00,ok,The party agreed that it was unwise to locate the base,182
a04-059-01,ok,"in the Holy Loch, only 30 miles from Glasgow, a",172
a04-059-02,ok,city with two million people. It should be sited,172
a04-059-03,ok,in a more remote area. Mr. Gaitskell added that,172
a04-059-04,ok,"the Scarborough conference decisions did not, in his",172
a04-059-05,ok,"view, truly reflect the opinions of the majority",172
a04-059-06,err,of party members and still less the party's,172
a04-059-07,ok,supporters in the country.,172
a04-066-00,ok,Mr Gaitskell added that agreement with the,203
a04-066-01,ok,"unilateralists was not possible, though",203
a04-066-02,ok,he respected their views. He saw by reports,203
a04-066-03,err,"that ""those who organise these things"" were",203
a04-066-04,ok,recommending the supporters of unilateral nuclear,203
a04-066-05,ok,disarmament to shift the emphasis of,203
a04-066-06,ok,their intervention away from straight opposition,203
a04-066-07,err,to the official document on to opposition,203
a04-066-08,ok,to the Polaris base.,203
a04-069-00,ok,"To Mr. Macmillan, Mr Gaitskell said the",203
a04-069-01,ok,Prime Minister should begin to take,203
a04-069-02,ok,seriously the danger of the spread of nuclear,203
a04-069-03,err,"weapons within the Nato alliance. ""Let us say",203
a04-069-04,ok,"to Macmillan that he should press, I hope",203
a04-069-05,ok,"with the agreement of Kennedy, in",203
a04-069-06,ok,"talks with the Soviet Union, for the establishment",203
a04-069-07,ok,in central Europe of a zone of controlled,203
a04-069-08,err,"disarmament.""",203
a04-072-00,err,"He thought, he said, that the Soviet",190
a04-072-01,ok,Union would be prepared to reach,190
a04-072-02,ok,an agreement on a zone of controlled,191
a04-072-03,ok,disarmament in Europe. Mr Gaitskell,190
a04-072-04,ok,"concluded, declaring that the present",189
a04-072-05,ok,was the beginning of a great period of,189
a04-072-06,ok,opportunity for the party. It was a,188
a04-072-07,ok,great chance that should be grasped.,188
a04-072-08,ok,Inter-union jealousies prevent the,203
a04-072-09,ok,fulfilment of a common policy for wages,203
a04-072-10,ok,"and other major questions, Mr. Jack Cooper",203
a04-081-00,ok,The General Council of the Trades Union,182
a04-081-01,ok,Congress should therefore consider the,182
a04-081-02,ok,matter. Consideration should also be given,182
a04-081-03,ok,to the regrouping of unions and the,172
a04-081-04,ok,modification of their structures to,182
a04-081-05,ok,meet the growing concentration of,172
a04-081-06,ok,capital. Mr. Cooper argued that a,172
a04-081-07,ok,common industrial contribution was,172
a04-081-08,ok,urgent - particularly in unions serving,172
a04-081-09,ok,workers in the same industry - along,172
a04-085-00,ok,Suggesting that a total T.U.C.,172
a04-085-01,ok,"membership of eight million was a ""poor",172
a04-085-02,ok,"show"" compared with some countries, he",172
a04-085-03,ok,argued that the position needed examination.,172
a04-085-04,ok,BEFORE President Kennedy met Mr.,172
a04-085-05,ok,Macmillan yesterday morning he was given,172
a04-085-06,ok,the views of a wide section of the,172
a04-085-07,ok,British people about Polaris submarine,172
a04-085-08,ok,bases in this country. An open letter,172
a04-085-09,ok,written by Earl Russell hoping that the,172
a04-089-00,ok,"Earl Russell, President of the Committee",172
a04-089-01,ok,"of 100, told Kennedy that he should",172
a04-089-02,ok,"take notice of ""that very large and",172
a04-089-03,ok,growing section which is opposed to,172
a04-089-04,ok,"the establishment of a Polaris base,",172
a04-089-05,ok,whether at Holy Loch or elsewhere on,172
a04-089-06,ok,"British territory."" He pointed out that",172
a04-089-07,ok,already there have been protests but,172
a04-089-08,ok,"that ""very much larger protests are to",172
a04-089-09,ok,"be expected and are being planned.""",172
a04-092-00,ok,There are three kinds of reasons that justify,182
a04-092-01,ok,the protests and these should carry weight with,182
a04-092-02,ok,"the U.S. Government, Earl Russell suggested. ""The",182
a04-092-03,ok,first of these reasons is the importance of pre-,182
a04-092-04,ok,serving the hitherto cordial relations between the,182
a04-092-05,ok,"U.S. and Great Britain, not only in Government",182
a04-092-06,ok,"circles, but in public opinion."" Earl Russell",182
a04-092-07,ok,"says it is inevitable, though profoundly",182
a04-092-08,ok,"regrettable, that the agitation against",182
a04-092-09,ok,the Polaris base has generated some antagonism,182
a04-092-10,ok,to the policy of the United States.,182
a04-096-00,ok,The second reason is concerned with doubts,182
a04-096-01,ok,as to the safety of the people of Great Britain;,182
a04-096-02,ok,"""in the time of crisis it would probably be",182
a04-096-03,ok,impossible for the British authorities to,182
a04-096-04,ok,exercise any degree of control over the action,182
a04-096-05,ok,"of Polaris submarines."" He argues that",182
a04-096-06,ok,there is a distinct possibility that so long,182
a04-096-07,ok,as there is a Polaris base in Britain the,182
a04-096-08,ok,Soviet Union might retaliate against,182
a04-096-09,ok,Britain alone.,182
a04-099-00,ok,"""Such retaliation might, and probably would,",182
a04-099-01,ok,destroy the whole population of Britain in,182
a04-099-02,err,"the course of, at the most, an hour"" without",182
a04-099-03,ok,provoking American retaliation. Earl Russell,182
a04-099-04,ok,"believes: ""It is very questionable whether",182
a04-099-05,ok,British membership of Nato and British,182
a04-099-06,ok,permission of American bases on our territory,182
a04-099-07,ok,"add anything to the strength of America,",182
a04-099-08,ok,"while, on the contrary, they impose upon",182
a04-099-09,ok,America an onerous obligation which it,182
a04-099-10,ok,"may prove impossible to fulfil.""",182
a04-103-00,ok,The third reason is that the supreme,182
a04-103-01,ok,interest for the whole world - East and,182
a04-103-02,ok,West and uncommitted nations - is the,182
a04-103-03,ok,"prevention of nuclear war. ""A rapidly",182
a04-103-04,ok,growing body of opinion in this country,182
a04-103-05,ok,believes that Britain could be more effective,182
a04-103-06,ok,in preventing a nuclear war as a neutral,182
a04-103-07,ok,by helping to suggest agreements which could,182
a04-103-08,ok,"be accepted by both East and West.""",182
a05-000-00,ok,"THE next White Paper on defence, to",169
a05-000-01,ok,"be published in March, is likely to",171
a05-000-02,ok,contain a five-year plan for the three,170
a05-000-03,ok,Services. Its aim will be to produce superbly,171
a05-000-04,ok,"equipped, all-Regular forces of",171
a05-000-05,ok,"about 400,000 men. The three Services",168
a05-000-06,ok,"would be ""integrated"" to a greater",170
a05-000-07,ok,extent than ever before.,172
a05-004-00,ok,"Short of wearing the same uniform, which is",189
a05-004-01,ok,"not contemplated, the Navy, Army and Royal",187
a05-004-02,ok,"Air Force would become, for practical purposes,",187
a05-004-03,ok,a single defence force. There would be,187
a05-004-04,ok,complete co-operation at all levels in training,183
a05-004-05,ok,and operations. This would apply also in the,184
a05-004-06,ok,command structure and central administrative,183
a05-004-07,err,"organisation. Mr. Watkinson, Minister of Defence,",184
a05-004-08,ok,"has been working on the plan for some months,",184
a05-004-09,err,with the Prime Minister's approval.,182
a05-009-00,ok,He has had numerous meetings with the Service,188
a05-009-01,ok,Ministers. He has also had talks with the Earl,188
a05-009-02,ok,"of Home, Foreign Secretary, and with other",188
a05-009-03,ok,Ministers concerned with overseas aspects,189
a05-009-04,ok,of defence policy. Details of the scheme,189
a05-009-05,ok,are now being worked out by the Chiefs,187
a05-009-06,ok,"of Staff, a process that may take four",186
a05-009-07,ok,or five months.,188
a05-013-00,err,The scheme will be subject to Cabinet,176
a05-013-01,ok,approval. Mr. Watkinson remains con-,176
a05-013-02,ok,vinced that the policy initiated in,175
a05-013-03,err,"1957, in Mr. Sandys's time as Minister",176
a05-013-04,err,"of Defence, is still correct. This was to",175
a05-013-05,ok,return to the tradition of all-Regular,173
a05-013-06,ok,"voluntary forces, with the last National",172
a05-013-07,ok,Serviceman out of uniform by the end,176
a05-013-08,ok,of 1962.,171
a05-017-00,ok,The Minister regards the recent trend,179
a05-017-01,ok,of recruiting figures as encouraging.,176
a05-017-02,ok,He is confident the aim can be achieved.,179
a05-017-03,ok,While the possibility of an eventual return,175
a05-017-04,ok,to National Service in some form,176
a05-017-05,ok,"cannot be entirely discounted, he does",173
a05-017-06,ok,not agree that the point has been reached,173
a05-017-07,err,where this need even be considered. If,175
a05-017-08,ok,"National Service is ever resorted to,",172
a05-017-09,ok,engagement would probably have to be for,173
a05-017-10,ok,three years.,173
a05-022-00,ok,It is thought this would be the minimum,174
a05-022-01,ok,necessary for the extended training modern,177
a05-022-02,ok,arms require and to enable each man to,176
a05-022-03,ok,serve at least a year overseas. There is,176
a05-022-04,ok,no truth in suggestions that Mr. Watkinson,174
a05-022-05,ok,is at odds with the Service chiefs over,174
a05-022-06,ok,the decision to dispense with National,177
a05-022-07,ok,"Service, or over any other aspect of",176
a05-022-08,ok,defence policy.,176
a05-025-00,ok,Criticisms about Army manpower appear,174
a05-025-01,ok,to have come mainly from retired officers,176
a05-025-02,err,who have held high positions but,173
a05-025-03,ok,are out of touch with the existing situation.,175
a05-025-04,ok,Mr. Watkinson has had the utmost support,174
a05-025-05,ok,"from the C.I.G.S., Field-Marshal Sir",174
a05-025-06,ok,"Francis Festing, who believes completely",174
a05-025-07,ok,in the principle of an all-Regular army.,172
a05-025-08,ok,"Gen. Sir Richard Hull, who is to succeed",173
a05-025-09,ok,"Sir Francis, is equally convinced Mr.",172
a05-025-10,ok,Watkinson is right.,170
a05-029-00,ok,Sir Francis is to hand over to Sir Richard,177
a05-029-01,ok,"as from Nov. 1. The hand-over, due in",177
a05-029-02,ok,"September, was delayed because of the",180
a05-029-03,ok,Berlin crisis. Mr. Watkinson and his advisers,176
a05-029-04,ok,felt the change would be unwise at a,178
a05-029-05,ok,moment # when attention had to be,176
a05-029-06,ok,concentrated on possible need for important,176
a05-029-07,ok,military operations. For this reason Sir,176
a05-029-08,ok,"Francis stayed on, and # sacrificed",172
a05-029-09,ok,his leave.,171
a05-039-00,err,There was a computed 8.4 per cent. swing,178
a05-039-01,ok,"towards the Nationalist party of Dr. Verwoerd,",177
a05-039-02,ok,the Prime Minister. This implies the dis-,177
a05-039-03,ok,appearance of the Progressive party from,177
a05-039-04,err,the House. Early results in yesterday's,179
a05-039-05,ok,general election showed Nationalists being,178
a05-039-06,ok,"returned in their strongholds, like Bloem-",175
a05-039-07,ok,"fontein and the Transvaal, with slightly",175
a05-039-08,ok,"increased majorities. In the Cape, the",176
a05-039-09,err,"veteran United Party politician, Mr. Harry",174
a05-039-10,ok,"Lawrence, standing as a Progressive, was",174
a05-044-00,ok,The defeat of the leader of the,180
a05-044-01,ok,"Progressive party, Dr. Steytler, in Port",179
a05-044-02,ok,"Elizabeth South, announced immediately",181
a05-044-03,ok,"afterwards by the United party candidate,",181
a05-044-04,ok,"Mr. Plewman, left the Progressives deprived",177
a05-044-05,err,of both their chief figures. Dr. Verwoerd and,175
a05-044-06,ok,"the Leader of the Opposition, Sir de",176
a05-044-07,ok,"Villiers Graaff, have been returned unopposed.",174
a05-044-08,ok,The contests were for 86 seats as 70,173
a05-044-09,ok,Nationalists and 20 United party candi-,174
a05-044-10,ok,dates are unopposed.,172
a05-048-00,ok,Long before polling closed at 8 p.m. it was,175
a05-048-01,ok,evident that voters were bored by the,180
a05-048-02,ok,Government's frequent appeals to the electorate.,177
a05-048-03,ok,The election was the fourth in four years.,177
a05-048-04,ok,In most constituencies it may go down as,173
a05-048-05,ok,the most apathetic in the country's history.,175
a05-048-06,ok,THE Prime Minister disclosed in the Commons,173
a05-048-07,ok,last night that he had considered early,173
a05-048-08,ok,in the Parliamentary recess whether to,175
a05-048-09,ok,mobilise reserves necessary to bring the,173
a05-048-10,ok,British Army of the Rhine on to a war footing.,170
a05-053-00,ok,He decided that it would be a great error,179
a05-053-01,err,to do so and to recall Parliament. But,178
a05-053-02,ok,there would be no hesitation in mobilising,179
a05-053-03,ok,if a further deterioration in the situation,177
a05-053-04,ok,warranted such a step. It would have to be,175
a05-053-05,ok,"accompanied by other measures of a military,",173
a05-053-06,ok,"economic and political kind. Mr. Macmillan,",176
a05-053-07,ok,who was winding up the foreign affairs,176
a05-053-08,ok,"debate, said the Government could not",177
a05-053-09,ok,be party to accepting as a matter of,177
a05-053-10,ok,principle the imposed division of Germany.,177
a05-058-00,ok,"""We must not be rattled into surrender,",181
a05-058-01,ok,but we must not - and I am not - be,182
a05-058-02,ok,"afraid of negotiation."" Mr. Godber,",183
a05-058-03,ok,"Minister of State, Foreign Office, said",183
a05-058-04,ok,earlier that the Government had asked,184
a05-058-05,ok,the Medical Research Council to reassess,181
a05-058-06,ok,the fall-out position in view of the Russian,181
a05-058-07,ok,tests. The Council's findings would be,183
a05-058-08,ok,made public.,180
a05-062-00,ok,With a vigour and authority which delighted,176
a05-062-01,err,"old Parliamentary friends and foes alike,",178
a05-062-02,ok,"the Earl of Avon, the former Sir Anthony",176
a05-062-03,err,"Eden, in his maiden speech in the House",179
a05-062-04,err,"of Lords last night, gave a warning",174
a05-062-05,ok,that # appeasement over Berlin could,169
a05-062-06,ok,"only lead to war. To stand firm, he",169
a05-062-07,err,"declared, was not to invite war, but",170
a05-062-08,ok,the surest way to avert it.,167
a05-069-00,ok,It was the end of a rather curious,173
a05-069-01,ok,speech in which Mr. Macmillan wound up,173
a05-069-02,ok,the two-day debate on foreign affairs.,174
a05-069-03,ok,"He began in a low, almost chatty mono-",175
a05-069-04,ok,"tone, and his voice never rose to any",177
a05-069-05,ok,accent of urgency. He passed in rapid,175
a05-069-06,err,review the United Nations Secretariat;,175
a05-069-07,ok,nuclear tests; the canard about British,175
a05-069-08,ok,interference with the United Nations,176
a05-069-09,ok,in the Congo; Kuwait; and South-East,173
a05-069-10,ok,Asia.,174
a05-073-00,ok,He spent most of his short half-hour on,176
a05-073-01,ok,Berlin. He deplored the possibility of,176
a05-073-02,ok,"some ""new myth"" about betrayal of Germany",178
a05-073-03,err,"by the Allies. ""We do not,"" he said, ""really",176
a05-073-04,ok,"know what the Russians want."" But he was",176
a05-073-05,ok,certain that they wanted to establish a,174
a05-073-06,ok,final and irrevocable division of Germany.,177
a05-073-07,ok,Britain could not be a party to an imposed,175
a05-073-08,ok,"division. But negotiation, as the debate had",175
a05-073-09,ok,"shown, could be undertaken on a variety",176
a05-073-10,err,of bases.,178
a05-080-00,ok,Mr. Macmillan explained that he had deliber-,179
a05-080-01,ok,ately refrained during the summer from,184
a05-080-02,ok,recalling Parliament or ordering mobilisation,183
a05-080-03,ok,"by proclamation, such as would be",182
a05-080-04,err,necessary to bring the British Army of the Rhine,179
a05-080-05,ok,on to a fully active footing. That,175
a05-080-06,ok,would have created a thoroughly unde-,179
a05-080-07,ok,sirable atmosphere of panic. He thought,178
a05-080-08,ok,that the situation was rather more,176
a05-080-09,ok,hopeful.,174
a05-084-00,ok,The Russians now realised its seriousness. The,182
a05-084-01,ok,French doubts were more about procedure,184
a05-084-02,ok,than about substance. The Prime Minister's,184
a05-084-03,ok,attitude of studied calm brought down the,182
a05-084-04,ok,"temperature of the debate, which never",184
a05-084-05,ok,"at any time rose to fever pitch, to a",179
a05-084-06,ok,remarkable degree of sub-normality.,181
a05-084-07,ok,Throughout Mr. Macmillan's speech the Earl,180
a05-084-08,ok,"of Home, Foreign Secretary, was listening",179
a05-084-09,ok,in the Peers' Gallery.,178
a05-089-00,ok,The early speakers in the debate each,186
a05-089-01,ok,severely rated the speech of his predecessor.,185
a05-089-02,ok,These strictures were all too well justified.,183
a05-089-03,ok,We started with the plaintive wailings,183
a05-089-04,ok,"of Mr. Healey, ""Shadow"" Foreign Secretary,",183
a05-089-05,ok,"described by Mr. Godber, Minister of",181
a05-089-06,ok,"State, Foreign Office, as ""pedantic and",180
a05-089-07,ok,"obscure on Berlin, damaging and obscure",183
a05-089-08,err,"on the Congo."" In turn, Mr. Godber was",181
a05-089-09,ok,"censured by Mr. Shinwell, former Labour",180
a05-089-10,ok,"Defence Minister, for having read the",182
a05-094-00,ok,The trouble about such debates is that,185
a05-094-01,ok,they range too widely. They remind one of,185
a05-094-02,ok,"the Rugby match in ""Tom Brown's Schooldays,""",184
a05-094-03,ok,in which all the boys were welcome to,184
a05-094-04,ok,"take part, and only those who ""really meant",183
a05-094-05,ok,"business"" removed their jackets. Not many",181
a05-094-06,ok,metaphorical braces were visible in the,181
a05-094-07,err,early stages of to-night's debate. Mr.,182
a05-094-08,ok,Healey had another tilt at the Prime Minister's,182
a05-094-09,ok,"golf-course Press conference, which he",182
a05-094-10,ok,"described as ""a display of flabby and",181
a05-099-00,ok,A reference to the reunification of Germany,187
a05-099-01,ok,"brought a bark of ""Start another war!""",188
a05-099-02,ok,"from Mr. Ellis Smith (Lab., Stoke on Trent S.).",185
a05-099-03,ok,Then Mr. Healey launched out on his pet,187
a05-099-04,ok,theme of limitation of armaments in Europe.,187
a05-099-05,ok,"This could, he suggested, be linked with",183
a05-099-06,ok,prohibition of the production of atomic,183
a05-099-07,ok,weapons in any part of Europe. Inspection,182
a05-099-08,ok,and control would be much easier to,183
a05-099-09,err,establish in these territories.,179
a05-104-00,ok,Mr. Healey denounced the Government for,187
a05-104-01,ok,using double standards. Ministers had,187
a05-104-02,ok,rebuked the unaligned nations for not,188
a05-104-03,err,"condemning the new Russian tests, but",188
a05-104-04,ok,they themselves had no condemnation for,185
a05-104-05,ok,events in Angola or Algeria. It was not for,180
a05-104-06,ok,"the Government, said Mr. Healey, to",181
a05-104-07,ok,"take up moral attitudes, ""especially when",178
a05-104-08,ok,the temple of their religion is the,181
a05-104-09,ok,"bingo-parlour.""",179
a05-108-00,ok,This puzzled such students of comparative,185
a05-108-01,ok,religion as had failed to detect this cult.,185
a05-108-02,ok,But Mr. Healey had a partial and,185
a05-108-03,ok,limited success. He rallied behind him,184
a05-108-04,err,the Left-wing opinion so coolly snubbed last,183
a05-108-05,ok,"night by his leader, Mr. Gaitskell. Mr.",182
a05-108-06,ok,Godber's performance merited all the mild,182
a05-108-07,ok,scorn heaped on it by Mr. Shinwell.,182
a05-113-00,ok,"True, he did tell the House that the",184
a05-113-01,ok,Government had asked the Medical Research,186
a05-113-02,ok,Council to reassess the fall-out position in,186
a05-113-03,err,"view of the Russian tests, and said that",185
a05-113-04,ok,the council's findings would be published.,184
a05-113-05,ok,He was not so happy in his defence of,182
a05-113-06,ok,the Government's failure to condemn,185
