Image,Transcription,Length
071_159_003_04_17,take themselves in good measure out of the reach of Justice,59
071_159_003_04_18,but to responsible traders who have a Character and a,53
071_162_001_03_01,Of Frauds relative to the Coin .,32
071_162_001_04_01,Introductory Observations .,27
071_162_001_04_02,In the mention of Frauds relative to the Coin the,49
071_162_001_04_04,Act of Coining naturally takes the lead :  but it is the uttering,65
071_162_001_04_06,"of base Coin , the obtaining things of a certain Value in return",64
071_162_001_04_07,for a thing pretended to be of equal but which in fact is of,60
071_162_001_04_08,"less Value , that produces all the Mischief .",45
071_162_001_04_09,Coining is a species of Forgery . The impression given,54
071_162_001_04_10,to a piece of coin is designed to answer the purpose of a dis=,62
071_162_001_04_11,": course to this effect ;  "" I the Officer in this case appointed by",68
071_162_001_04_12,""" the Law , do certify , that the substance which you here see con=",67
071_162_001_04_13,: tains such or such a quantity or quantities of such or such,61
071_162_001_04_14,""" a metal or metals . ""  Now in every state there are but one or",64
071_162_001_04_15,more particular set or sets of Officers appointed for this pur=,63
071_162_001_04_16,: pose . If then any person who is not of any such set takes,60
071_162_001_04_17,upon him to fashion any portion of matter in the view of,56
071_162_001_04_18,causing it to be taken for a portion of matter so stamped,57
071_162_001_04_19,"and by such authority , or alters the quantity or quantities of",63
071_162_002_03_01,Frauds relative to the Coin .,29
071_162_002_04_01,portion of matter on which such stamp has been put by such,58
071_162_002_04_02,"authority , if , in a word , he either applies to any such piece a do=",70
071_162_002_04_03,: cument  +   purporting to have been executed by a person by whom it,69
071_162_002_04_04,"was not executed , or alters a document which has been executed by",66
071_162_002_04_05,"the proper person , he commits in either case , a particular kind",65
071_162_002_04_06,of Forgery . The profit arises from the difference in point of,62
071_162_002_04_07,"value , between the counterfeit or diminished Coin , and the",60
071_162_002_04_08,"genuine or entire , for which it is intended to be passed .",59
071_162_002_04_09,"This offence has commonly been stiled Treason , and ,",53
071_162_002_04_10,"in many respects , treated as if it were so . But with as much",62
071_162_002_04_11,propriety it might have been called by any other odious,55
071_162_002_04_12,"name . It is not committed with the views , nor has it any of the",65
071_162_002_04_13,"effects , of Treason . When a man coins false money it is not",61
071_162_002_04_14,"to usurp power , but property . It is not like Treason the Crime",64
071_162_002_04_15,of the Courtier or of the Soldier or of the Lawyer :  but of the Ar=,68
071_162_002_04_16,"tizan . It is a crime not of ambition nor of conscience , but of ra=",68
071_162_002_04_17,: pacity . If it were not for the gain a Man could have no Motive,65
071_163_001_03_01,Frauds relative to the Coin .,29
071_163_001_04_01,Instructions to the Legislator .,32
071_163_001_04_02,The auxiliary expedients that may be employed,45
071_163_001_04_03,in aid of that which consists simply in the application of Punish=,66
071_163_001_04_04,: ment to the very offence which is intrinsically obnoxious seem,64
071_163_001_04_05,reducible to the following heads :  viz,39
071_163_001_04_06,1 . Provisions against preliminary offences ; or Provisions,59
071_163_001_04_07,of which the object is to search out and punish as many as,58
071_163_001_04_08,possible of the acts which may be necessary to be performed,59
071_163_001_04_09,before the process of Coining can be accomplished .,51
071_163_001_04_10,2 . Provisions of physical prevention ; or Provisions cal=,58
071_163_001_04_11,: culated to enhance by physical means the difficulty of imi=,61
071_163_001_04_12,: tating the lawful Coin .,26
071_163_001_04_14,3 . Provisions monitory  ; or Provisions for putting the,56
071_163_001_04_15,people in general on their guard against bad money .,52
071_163_001_04_16,1 . Provisions against Preliminary Offences .,45
071_163_001_04_17,Of the nature and scope of provisions against,45
071_163_001_04_18,Preliminary Offences the following hints may serve to give a,60
071_163_002_03_01,Frauds relative to the Coin .,29
071_163_002_04_02,1 . If among the instruments necessary for making Coin,54
071_163_002_04_03,in a particular manner there be any which are not necessa=,58
071_163_002_04_04,"=ry for the purpose of any other Art  , the use and possession",62
071_163_002_04_05,of all such instruments may be prohibited  ( giving proper no=,62
071_163_002_04_06,: tice )  under the same penalties as the entire process of fabri=,66
071_163_002_04_08,2 . If there be any instruments necessary for the making of,59
071_163_002_04_09,the above mentioned instruments and which are not necessary for,63
071_163_002_04_10,"any other Art , such instruments may be prohibited in like",58
071_163_002_04_12,manner and soon  :  and in short the more operations could be in=,65
071_163_002_04_13,: troduced into the process so as to be necessary to the giving the,67
071_163_002_04_14,Coin its distinctive properties and the more unlike those ope=,62
071_163_002_04_15,": rations were to one another , the better .",44
071_163_002_04_17,3 . If such other Art be of trivial use it might be worth while,63
071_163_002_04_18,to make a sacrifice of it to the security of the Coinage and to,63
071_163_002_04_19,prohibit it altogether .,24
071_163_002_04_20,4 . If it should be of too much use to be sacrificed still the exer=,68
071_163_003_03_01,Frauds relative to the Coin .,29
071_163_003_04_01,exercise of it might be laid under certain restrictions  . For in=,66
071_163_003_04_02,: stance no man might be allowed to use the instument in,56
071_163_003_04_03,question without a licence :  nor should any man who was al=,60
071_163_003_04_05,: lowed to use be allowed to keep it by him at all times  ; it,62
071_163_003_04_06,"might be kept under several keys of which an officer , to",57
071_163_003_04_07,"be appointed for the purpose  , should have one  , so as not to",63
071_163_003_04_08,be sued but in his presence .,29
071_163_003_04_09,As to the mere Act of Coining considered by itself,50
071_163_003_04_10,the chance of convicting a man of it upon direct proof is compa=,64
071_163_003_04_11,: ratively very slender  ; such proof unless by some very ex=,61
071_163_003_04_12,: traordinary accident is never to be had but from the testi=,61
071_163_003_04_13,: mony of some of the confederates . This is owing to the par=,62
071_163_003_04_14,": ticular nature of the act which , however mischievous it",58
071_163_003_04_15,"may be in its design and consequences , yet not being the",57
071_163_003_04_16,very act from which the mischief immediately takes its,54
071_163_003_04_17,birth is never in any likelyhood of being performed in pre=,59
071_163_003_04_18,sence of any of the parties who come afterwards to be injured,61
071_163_003_04_19,by it  :  by which circumstance that source of testimony is en=,63
071_163_004_03_01,Frauds relative to the Coin.,28
071_163_004_04_02,On this account it comes to be the more material to,51
071_163_004_04_03,search out by a circumstantial description the several pre=,59
071_163_004_04_05,"=liminary Acts which a man has occasion to perform, and",55
071_163_004_04_06,the several preliminary situations it is necessary for him,58
071_163_004_04_07,"to put himself into, before he can be in a condition to",55
071_163_004_04_09,perform the act intrinsically obnoxious. Of these acts,54
071_163_004_04_10,and situations there may be many which may present,50
071_163_004_04_11,"a greater surface; as it were, to observation ( and from",56
071_163_004_04_12,thence to testimony) than the act itself of Coining: and,56
071_163_004_04_13,this even when taken separately; much more when they,52
071_163_004_04_14,come to be added altogether. The more ample then and,52
071_163_004_04_15,circumstantial the catalogue is that can be given of these,58
071_163_004_04_16,"preliminary offences, the better chance there is of effecting",61
071_163_004_04_17,the purpose of preventing the principal one to which they,57
071_163_004_04_19,The following string of provisions are calculated in,52
071_163_004_04_20,some degree to answer that design. They are taken with,54
071_164_001_03_01,Frauds relative to the Coin .,29
071_164_001_04_01,some little variations from the English Law and they may,56
071_164_001_04_02,answer their purpose in a degree more or less perfect ac=,57
071_164_001_04_04,: cording to the nature of operations which are necessarily,59
071_164_001_04_05,employed at the public mint for giving to the money,51
071_164_001_04_06,its distinguishing appearance . The more refined and,52
071_164_001_04_07,"multiplied these operations are , the more difficult it will",60
071_164_001_04_08,be for unlicensed artists to pursue them ; and the more,55
071_164_001_04_09,easy it will be to intercept such criminals in their unlaw=,59
071_164_001_04_11,"For the following Offences every man , not acting by au=",56
071_164_001_04_12,": thority from the public mint , shall be punished as for coining :",67
071_164_001_04_13,viz :  if he be knowingly concerned in making or repairing,58
071_164_001_04_14,or knowingly have in his possession or knowingly be concern=,60
071_164_001_04_15,": ed in contracting for the making , or repairing , or purchasing ,",67
071_164_001_04_16,"or selling , or keeping , or carrying , any of the articles following ;",71
071_164_001_04_17,1 . Any mould or other instrument which he knows to be cal=,59
071_164_001_04_18,: culated to impress or exhibit a resemblance of the impression on,66
071_164_002_03_01,Frauds relative to the Coin .,29
071_164_002_04_02,2 . Any tool which is not of common use in any trade and,56
071_164_002_04_03,which he knows to be contrived for making money on the edg=,59
071_164_002_04_04,: es with marks resembling those on the edge of any other Coin .,64
071_164_002_04_05,3 . Any engine which he knows to be a Press for Coinage .,57
071_164_002_04_06,4 . Any engine which is not of common use in any trade,54
071_164_002_04_07,"and which he knows to be contrived for cutting , by force of a",62
071_164_002_04_08,"Screw , out of any metals or compositions resembling those of",61
071_164_002_04_09,"which money is made , round blanks of the dimensions of",55
071_164_002_04_10,any kind of current money .,27
071_164_002_04_12,5 . If any person shall without lawful cause or excuse,54
071_164_002_04_13,knowingly convey or be concerned in conveying out of the,56
071_164_002_04_14,mint any instrument which he knows to be used in coining,56
071_164_002_04_15,or any material part of any such instrument in a condition to be,64
071_164_002_04_16,conveyed to any such purposes .,31
071_164_002_04_17,6 . If any person have knowingly in his possession or be know=,62
071_164_002_04_18,: ingly concerned in contracting for the purchasing or selling or,65
071_164_002_04_19,keeping or carrying any clippings or filings of any current money,65
071_165_001_03_01,Frauds relative to the Coin .,29
071_165_001_04_01,are ingredients in the lawful Coin provided such washing be,59
071_165_001_04_02,found in the same place with any instrument calculated for,58
071_165_001_04_03,Coinage or with any quantity of filings or clippings so large as,64
071_165_001_04_04,to be suspicious ; and such washings if within Six Months no,60
071_165_001_04_05,"lawful Claim be made to them , shall be forfeited .",51
071_165_001_05_02,of the metal will serve to shew from whence they were taken . This,66
071_165_001_05_03,is not the Case with any Solutions of the metals used as ingredients in,71
071_165_001_05_04,Coin :  for these by being dissolved are of course separated from each,70
071_165_001_05_05,other :  insomuch that their origin can no longer be perceivable .,66
071_165_001_05_06,These Solutions too are necessary in a multitude of Arts .,58
071_165_003_03_01,Frauds relative to the Coin .,29
071_165_003_04_01,Coin the more difficult it will be to succeed in imitating them,63
071_165_003_04_03,2 . Also the greater number of instruments it may require to,60
071_165_003_04_04,mark the Coin in a certain manner the more will the difficul :,62
071_165_003_04_06,3 . With regard to the Composition . If any particular compositi=,65
071_165_003_04_07,": on could be found out , in which the metals used in Coin are",62
071_165_003_04_08,ingredients and which has any particular properties which,57
071_165_003_04_09,would be discoverable by tests so obvious as not to require,59
071_165_003_04_10,the piece to be defaced ; that composition and that alone might,63
071_165_003_04_11,"be appropriated to the Coinage , and it might be made penal",59
071_165_003_04_12,to have it in one ' s possession or to apply it to any other pur=,65
071_165_003_04_15,Let the coin be constantly kept fresh  ; and for this purpose Let the,69
071_165_003_04_16,coinage be periodically renewed . ( b )  +  2 . Let such Compositions be pre=,77
071_165_003_05_02,( a )  If any Legislator should think proper to pursue this idea and,68
071_165_003_05_03,prohibit any metallic composition in order to guard against its being,69
071_165_003_05_05,thus abused it is hoped he will be a little more careful in the descrip=,72
071_165_003_05_06,: tion of it than the English Legislator was who in the Statute of Will.III .,77
071_165_003_05_07,[ 8 and 9 Will . 3 . C . ' 26 S . 6 and 9 ]  took upon him to prohibit un=,74
071_165_003_05_08,: der pain of death the use of certain metallic substances . These substances,77
071_166_001_03_01,Frauds relative to the Coin .,29
071_166_001_04_01,Coin that has happened to make its appearance and by the,56
071_166_001_04_02,means prescribed in Art  [   ]  or any other means has been,59
071_166_001_04_03,communicated to the Mint .,26
071_166_001_04_04,Provisions for Settling Disputes .,34
071_166_001_04_05,There remains nothing now but to make provision,47
071_166_001_04_06,for settling the disputes that are apt to arise concerning the weight,69
071_166_001_04_07,"and legitimacy of money , where the money itself is suspected ,",63
071_166_001_04_08,but either no suspicion at all is entertained of the person who,63
071_166_001_04_09,"tendered it , or none that is sufficient to warrant the employ=",63
071_166_001_04_10,: ing adverses measures for bringing him to Justice . Provisions,64
071_166_001_04_11,relatives to this head do not indeed strictly speaking belong to,64
071_166_001_04_12,the criminal branch ; but as they are intimately connected with,63
071_166_001_04_13,"a subject that belongs properly to that branch , and may be",59
071_166_001_04_14,"dispatched in a small compass , it may not be amiss to insert",61
071_166_001_04_15,them here . The tenor of these Provisions may be as follows :,61
071_166_001_04_18,Any person to whom money is tendered which he sus=,50
071_166_001_04_19,: pects either to be diminisshed otherwise than by reasonable wearing,69
071_167_001_03_01,Frauds relative to the Coin .,29
071_167_001_04_01,"Seal unbroken , the Judge appealed from shall be answerable",59
071_167_001_04_03,to both parties for their costs of suit ; and to the apellant for,65
071_167_001_04_04,the Value of the matter in dispute .,36
071_167_001_04_05,"At the trial , either party in the Court of Appeal ,",52
071_167_001_04_06,may call in the Evidence of an Officer to be deputed from the,61
071_167_001_04_07,"Mint , whose report the Court of Appeal shall hear before they",62
071_167_001_04_08,pronounce Judgement ; and the Court may if they think proper,60
071_167_001_04_09,cause the said Officer to assay the piece before he gives in his,64
071_167_001_05_02,"[  ( b )  Renewed ]  Upon every fresh coinage the government , it is true ,",75
071_167_001_05_03,"will be put to two great charges , 1 . The Loss upon the wear and",65
071_167_001_05_04,the debasement . 2 . The expence of the Operation .,51
071_167_001_05_05,But the first Loss must be born by somebody :  and it,53
071_167_001_05_06,"is better it should be born by the state , than by individuals . It",67
071_167_001_05_07,"is better , for the same reason that Inssurance Offices are beneficial .",72
071_167_001_05_08,The burthen by being reduced as it were to impalpable parcels,61
071_167_001_05_09,is lessened upon the whole . Besides the oftner the experience comes,68
071_167_001_05_10,"round the less it will be ; and that not only each time , but even",66
071_167_001_05_11,upon the whole . If the Coinage is renewed for instance every,61
071_167_002_03_01,Frauds relative to the Coin .,29
071_167_002_04_02,"Ten years , it will to the last be so little worn and so difficult",66
071_167_002_04_03,"to counterfeit , that the Loss will be very inconsiderable .",60
071_167_002_04_04,"The expence of the Operation will certainly be something ,",58
071_167_002_04_05,but it will not be so great as at first sight might appear .,60
071_167_002_04_06,"melting pots , stamping engines",31
071_167_002_04_07,"The fixed Stock , for instance , the building &c . must be kept up",66
071_167_002_04_08,at any rate . The workmen must be kept constantly in pay :,58
071_167_002_04_09,there can be no harm therefore in their being kept as constant=,63
071_167_002_04_10,": ly at work . Of the consumable Stock  , the expence of fewel",62
071_167_002_04_11,seems to be the only extraordinary expence that is of any ac=,61
071_168_003_03_01,Of Frauds relative to the Coin .,32
071_168_003_04_01,Quest . II  . Why foreign Coin is put upon the same,51
071_168_003_05_02,bad money at the price of genuine . The reason indeed given is,62
071_168_003_05_03,"that  "" the utterers often are the Coiners or in confederacy with them ""  ;",75
071_168_003_05_04,but the conviction is not made to depend in any manner upon,59
071_168_003_05_05,the Jury ' s persuasion of that circumstance . The punishment is,64
071_168_003_05_06,for the first offence Six Months imprisonment ; for the Second,62
071_168_003_05_07,"Two Years Imprisonment ; and for the Third , Death .",52
071_168_003_05_08,"This statute , as any one may imagine , is not executed .",57
071_168_003_05_09,If it were there are few persons in the nation who might not,60
071_168_003_05_11,be  <gap/>  in the punishment . denounced by it .,49
071_168_003_05_12,With regard to the Copper Coin every body knows that,52
071_168_003_05_13,it is not all uncommon for counterfeit halfpence to be passed,61
071_168_003_05_14,"off , not only knowingly but avowedly ; since it is not at all",62
071_168_003_05_15,uncommon for people even knowingly to accept them . When,56
071_168_003_05_16,this is the case it is generally owing to the indifference with,63
071_168_003_05_17,"which the matter is regarded on both sides , on account of the",62
071_168_003_05_18,triflingness of the sum and the assurance which the accept=,59
071_168_003_05_19,: or has of being able to pass off the money to some other per,62
071_168_003_05_20,=son . This holds good in a less degree with regard to the silver,65
071_168_004_03_01,Of Frauds relative to the Coin .,32
071_168_004_04_01,footing as Domestic ?,21
071_168_004_04_03,1 . The mischief in the two Cases is either just,48
071_168_004_05_02,Coin :  and in this latter case the circulation of the base money is a,70
071_168_004_05_03,good deal aided by the difficulty or rather impossibility of meeting,68
071_168_004_05_04,any where with a sufficient quantity of genuine .,49
071_168_004_05_05,"In both these instances indeed , it may be said that gener=",59
071_168_004_05_06,: ally speaking there is no knowledge in the case ; that there is,65
071_168_004_05_07,nothing more than bare suspicion . There is however very fre=,61
071_168_004_05_08,=quently a persuasion ; and that as entire as any which the Evi=,64
071_168_004_05_09,=dence of a man ' s senses can produce . If then all that the term,66
071_168_004_05_10,"knowledge imports is that the matter of fact is true , or that",62
071_168_004_05_11,"the party who is said to know it is persuaded of its being so ,",63
071_168_004_05_12,there is often as much knowledge in this case as there can be,61
071_168_004_05_13,in any . If the meaning was that the circumstance of know=,58
071_168_004_05_14,: ledge should be taken for granted unless the contrary be,58
071_168_004_05_15,proved by some additional collateral evidence it were worth,59
071_168_004_05_16,while surely to have said so . To denounce a punishment,55
071_168_004_05_17,when there is evidently no chance of its being executed can,59
071_168_004_05_18,serve only to bring the Law into contempt .,43
071_168_004_05_19,In the present case as well as in far the greatest num=,55
071_169_001_03_01,Of frauds relative to the Coin .,32
071_169_001_04_01,"- the same  ; or at least so nearly alike  , that it seems to be hardly",71
071_169_001_05_02,"number of instances in which counterfeit Coin is passed off , al=",65
071_169_001_05_03,: though it be ever so true that the man who passed it off knew,63
071_169_001_05_04,"it to be counterfeit , it will be impossible to prove as much by",64
071_169_001_05_05,"any external evidence ; if then external evidence is required , the",67
071_169_001_05_06,facility of evading the Law will be such as to strip it of all,62
071_169_001_05_07,"its efficacy :  if no external evidence is required , but the know=",67
071_169_001_05_08,: ledge is left to be inferred and that conclusively from the mere,66
071_169_001_05_09,"appearance of the piece of money , it is exposing a Man to suf=",63
071_169_001_05_10,: fer for a transaction in which  ( in one way of considering it ),66
071_169_001_05_11,he may not have done any thing amiss at all  ; and in the o=,60
071_169_001_05_12,": ther , no more than what almost any man might do with=",56
071_169_001_05_13,: out supposing himself to have done any thing amiss .,54
071_169_001_05_14,This is enough to stand effectually in the way of any,53
071_169_001_05_15,punishment that can be employed against an Offence so circum=,61
071_169_001_05_17,Another provision in the same statute seems at least,52
071_169_001_05_18,equally open to exception  . If any person shall tender in pay=,63
071_169_001_05_19,: ment any counterfeit money  ( knowing it to be so )  and shall ei=,68
071_169_001_05_20,": ther the same day or within two days after , knowing tender",61
071_169_002_03_01,Of Frauds relative to the Coin . Reasons,40
071_169_002_04_01,worth while to detract from the simplicity of the Law for the,61
071_169_002_05_02,either false money in payment :  or at the time of such tendering have,70
071_169_002_05_03,more in his custody ; he is for the First Offence to suffer a year ' s,70
071_169_002_05_04,"Imprisonment , and , for the second Offence , Death .",53
071_169_002_05_05,In no state of things could a remedy so violent and hazard=,59
071_169_002_05_06,: ous as this be advantageous . When the Coingage is in a good state ;,70
071_169_002_05_07,when there is not much bad Coin current in a country ; it never,63
071_169_002_05_08,can be needful  :  +  when the Coinage is in a very bad State such a re=,72
071_169_002_05_09,: medy will either be inefficacious or unprofitable . +  Unless the Law,71
071_169_002_05_10,be strictly executed it will not put a stop to the obnoxious prac=,66
071_169_002_05_11,"tice ; and if it be , the mischief of execution may be greater than",67
071_169_002_05_12,the service done by the suppression of the offence . the worse State,68
071_169_002_05_13,"the Coinage is in , the more apt is the person who is to receive ,",66
071_169_002_05_14,to be negligent about the money he accepts ; much more the per=,63
071_169_002_05_15,": son who is to pay , about the money which he offers . The only",64
071_169_002_05_16,ground upon which any thing can be said in favour of a provi=,61
071_169_002_05_17,: sion of such severity in such a case is this :  that the putting,66
071_169_002_05_18,of bad Money under such circumstances is looked upon as con=,60
071_169_002_05_19,: clusive evidence of complicity with the coiners :  upon which ground,70
071_169_002_05_20,punishing the transaction above described is taking an evidentiary,66
071_169_002_05_21,act and turning it into a principal Offence . But in a bad state of,67
071_169_004_03_01,Of Frauds relative to the Coin . Reasons,40
071_169_004_04_01,Provisions which it would be necessary to insert for this,57
071_169_004_05_02,should happen should take upon him to draw a conclusive inference,65
071_169_004_05_03,from such premises would be justly accused of rashness :  what shall,68
071_169_004_05_04,we say of a Legislator who from the same premises takes upon him,64
071_169_004_05_05,to draw the same inference in all cases that can ever happen ?,62
071_169_004_05_07,A circumstance indeed which in this country contributes great=,62
071_169_004_05_08,"=ly to remove the danger , and , together with other circumstances , in a com=",78
071_169_004_05_09,": pleat degree the apprehension , which such a Law would excite in al=",70
071_169_004_05_10,: most any other country is that disposition to mercy of the prevalence,71
071_169_004_05_11,of which every man is pretty well assured in the tribunal which is,66
071_169_004_05_12,"to try him . A man will think himself pretty secure , and in gene=",66
071_169_004_05_14,": ral will be pretty secure , that no Jury , unless they thought him",68
071_169_004_05_15,"concerned with Coiners , would every convict him on such a Law ; nor",68
071_169_004_05_16,"any Judge , who was not of the same opinion , let him suffer for it",67
071_169_004_05_17,"though he were convicted . But that security  , though a very good one",70
071_169_004_05_18,"in the main , is from the nature of things liable in particular in=",67
071_169_004_05_19,": stances to fail :  especially as the Jury , in order to do their parts in",75
071_169_004_05_20,"saving a man , must , by deciding against the letter of the Law , vio=",70
071_169_004_05_21,: late their oaths of Office and thereby incur the guilt of a kind of,69
071_169_004_05_22,Perjury . Add to this that before the case comes before a Jury a man,68
071_180_003_03_01,Of Frauds relative to the Coin .,32
071_180_003_04_01,2 . The primary mischief is just the same . It may appear,57
071_180_003_05_03,is designed to stand as a temporary measure for the purpose of reme=,68
071_180_003_05_05,: dying a temporary inconvenience . In this case if proper measures,67
071_180_003_05_06,be taken for making it universally known by proclamations and o=,64
071_180_003_05_07,": ther means , a general Law against putting off bad money , backed by",70
071_180_003_05_09,"a moderate punishment , may have its use . It may  <gap/>   <gap/>  be",70
071_180_003_05_10,of use with respect to any particular species of Coin immediately after,71
071_180_003_05_11,a general reformation of that species of Coin  . The Coin being then fresh,74
071_180_003_05_12,"and beautiful , if any one offers in payment any of the old and counter=",72
071_180_003_05_13,": feit trash , it will be clear that he does it with his eyes open :  it",72
071_180_003_05_14,may in that case be very proper to employ punishment to deter,61
071_180_003_05_15,him . But then the punishment should be moderate :  it should not in=,69
071_180_003_05_16,: clude an exemplary degree of infamy ; it should be such as puts,65
071_180_003_05_17,"the offence upon the footing not of an act of moral turpitude , but",67
071_180_003_05_18,merely of an act of political delinquency ; a distinction which the Le=,71
071_180_003_05_19,: gislator should on all occasions be careful to keep in view . But even,72
071_180_003_05_20,"this punishment it would be improper to keep on foot , after the exi=",69
071_180_003_05_21,: gency which occasioned the demand is at an end :  that exigency over ; the,76
071_180_003_05_23,Law is forgotten :  after which it acts not as a remedy but only as a,69
071_180_004_03_01,Of Frauds relative to the Coin .,32
071_180_004_04_01,"at first sight that where a man counterfeits foreign Coin , the",63
071_180_004_04_02,"loss is not to his own country , but to that to which the Coin pur=",67
071_180_004_04_03,: ports to belong . but this is not necessarily the case . The loss,67
071_180_004_04_04,"is even more likely to fall upon the people of his own country ,",64
071_180_004_04_05,"than upon any person abroad  . There is no Coin of any Country , but",68
071_180_004_04_06,what some person or other of every Country may have some,56
071_180_004_04_07,"occasion to purchase . If then a Man in England , for example ,",63
071_180_004_04_08,counterfeits French money it is probably in a view of exchang=,62
071_180_004_04_09,: ing it in England for English money with some person who,58
071_180_004_04_10,wants money to spend in France .,32
071_180_004_04_11,Besides this it is for the reciprocal advantage of all,54
071_180_004_04_12,nations that the protection which every state affords to its own,64
071_180_004_04_13,"subjects should be extended , where it is wanted , to the indivi=",65
071_180_004_04_14,: duals of every other . The case even of a war between the two,63
071_180_004_04_15,states makes no difference ; for howsoever the happiness of a na=,65
071_180_004_04_16,: tion one is at war with may be impaired yet the strength of,61
071_180_004_04_17,it is not in any sensible degree diminished nor consequently,60
071_180_004_04_18,the Security of one ' s own nation promoted by these minute in=,63
071_180_004_04_19,: vasions of private property .,31
071_180_004_04_20,It may occur on the other side that domestic Coin is the,56
071_181_001_03_01,Of Frauds relative to the Coin .,32
071_181_001_04_01,only Coin which a man is obliged to accept in payment  :  unless,64
071_181_001_04_02,it be such foreign Coin as the State has thought proper to adopt :,66
071_181_001_04_03,which puts it upon the footing of domestic  . On this account it may,68
071_181_001_04_04,be thought that the counterfeiting of the former is more mischie=,65
071_181_001_04_05,": vous than the counterfeiting of the latter . But this objection ,",67
071_181_001_04_06,"when examined , will be found to be of little force . A piece",61
071_181_001_04_07,"of domestic Coin , if it happens to be counterfeit , he is no more",66
071_181_001_04_08,"obliged to take , than he is to take counterfeit foreign Coin .",63
071_181_001_04_09,"When a piece of counterfeit domestic Coin then is tendered to him ,",67
071_181_001_04_10,"if he suspects it , measures are taken , I suppose , by the Laws of",67
071_181_001_04_11,"all Countries , to give him a right to put it to the test at his",64
071_181_001_04_12,"peril ; so that if it turns out not to be good , the loss falls not",67
071_181_001_04_13,upon him but upon the tenderer . This obligation to accept is a,63
071_181_001_04_14,circumstance that applies not in one case out of ten thousand .,63
071_181_001_04_15,"In ordinary Cases where a man accepts money , it is not that",60
071_181_001_04_16,he is forced but that he chuses so to do . The question then upon,65
071_181_001_04_17,which the mischief turns is whether there be any case in,56
071_181_001_04_18,which a man would have an adequate inducement to accept,55
071_181_001_04_19,"of the counterfeit foreign Coin  , if he did not suspect it so to be .",70
071_181_002_03_01,Of Frauds relative to the Coin .,32
071_181_002_04_01,Now that such a case will often happen has been shewn . It,58
071_181_002_04_02,will often happen therefore that a man will be found who will,61
071_181_002_04_03,"unwillingly accept the counterfeit Coin , and if it stays upon",62
071_181_002_04_04,his hands be a sufferer by it . This is the only point in the,61
071_181_002_04_05,"case that is material ; whether , in default of an inducement",61
071_181_002_04_06,which is always present somewhere or other and always ad=,57
071_181_002_04_07,"=equate , there would be such or such another inducement , is",61
071_181_002_04_08,a question altogether immaterial with a view to practice . If,61
071_181_002_04_09,there be any one single man in the nation who will accept,57
071_181_002_04_10,"the counterfeit Coin , the mischief is as effectually incurred and",66
071_181_002_04_11,"that mischief is as great , as if there were ten thousand who",61
071_181_002_04_12,would take it . It could ultimately fall upon no more than,58
071_181_002_04_13,"some one person in the former case , and that does equally",58
071_181_002_04_15,2 The alarm is perhaps not always quite so great where,54
071_181_002_04_16,foreign Coin is counterfeited or diminished as where a like inju=,65
071_181_002_04_18,: ry is done to the domestic Country  . All people who come to,62
071_181_002_04_19,know of it are not necessarily alarmed at it ; but all people,61
071_181_002_04_20,are who may have occasion to accept the counterfeit foreign,59
071_181_003_03_01,Of Frauds relative to the Coin .,32
071_181_003_04_01,Coin . It may happen that but a few are in this case ; but,58
071_181_003_04_02,it may happen that all are in the same case . It depends,56
071_181_003_04_03,upon the degree of currency which the foreign Coin in ques=,59
071_181_003_04_04,: tion may happen to have . Besides by knowing that a,53
071_181_003_04_05,fraud has been practised upon that Coin they know that there,60
071_181_003_04_06,is a criminal who has the inclination and the power to do,57
071_181_003_04_07,"mischief in this way , or  "" yesterday ""  they will say to themselves ,",71
071_181_003_04_08,""" he practised it upon foreign Coin  ; but to morrow he may",59
071_181_003_04_09,practise it upon our own  .,27
071_181_003_04_10,3 . The Profit is just the same :  for the gain of half a,57
071_181_003_04_12,"crown , upon a Guinea is neither more nor less than that of half",64
071_181_003_04_13,a crown upon a louis-dor  .,27
071_181_003_04_14,If an Offender thinks he can get off counterfeit foreign Coin,61
071_181_003_04_15,he will counterfeit foreign Coin ; if he does not think he can,62
071_181_003_04_16,"get off counterfeit domestic Coin , he will not counterfeit do=",63
071_181_003_04_18,Lastly 1 . The danger of detection is much upon a Par . There,61
071_181_003_04_20,seems no reason to be given why it should be greater,52
071_181_003_04_21,in the one case than in the other .,35
071_181_004_03_01,Of Frauds relative to the Coin.,31
071_181_004_04_01,Quest. III. Why Coins of different Metal are put u=,51
071_181_004_04_02,:pon the same footing.,22
071_181_004_04_04,At first sight it may appear hard that a fraud upon,51
071_181_004_04_05,an Article of so small a value as the Copper Coin should be,59
071_181_004_04_06,punished as severely as a fraud upon one of so high a value,59
071_181_004_04_07,"as the Silver or even the Gold Coin, since the profit that",58
071_181_004_04_08,may be made by the falsifying any piece of the less precious,60
071_181_004_04_09,metal is not near so great as that which may be made,52
071_181_004_04_10,by the falsifying of the more precious metal. But the case,58
071_181_004_04_11,here is that the mischief is not to be estimated from the ef=,61
071_181_004_04_12,:fects of a single Act but from the effects of the Habit. Now,61
071_181_004_04_13,when the Habit is taken into the Account the one practice,57
071_181_004_04_14,does not seem to demand in any considerable degree a great=,59
071_181_004_04_15,:er punishment than the other. Where the profit upon a,54
071_181_004_04_16,"single piece is the greatest, the difficulty of getting it off is",65
